timestamp,mem_total,mem_free,mem_available,swap_total,swap_free,pgfault,pgmajfault,slab_unreclaim,cpu_usage,load_avg_1m,load_avg_5m,load_avg_15m,context_switches,disk_read,disk_write,net_recv_rate,net_sent_rate
2025-05-30 22:41:22,4056416256,2476294144,2612867072,2243948544,2243948544,32869445,4781,0,1.0,0.51904296875,0.4482421875,0.23828125,1731429,1452812288,4975518720,0,0
2025-05-30 22:41:28,4056416256,2476294144,2612875264,2243948544,2243948544,32898245,4781,0,1.0,0.47705078125,0.4404296875,0.23681640625,1732487,1452812288,4975559680,0,0
2025-05-30 22:41:34,4056416256,2476048384,2612629504,2243948544,2243948544,32898254,4781,0,46.9,0.59912109375,0.466796875,0.24658203125,1735919,1452812288,4975600640,0,0
2025-05-30 22:41:40,4056416256,2467790848,2615029760,2243948544,2243948544,32898581,4782,0,100.0,0.63134765625,0.47607421875,0.2509765625,1739618,1452959744,4975703040,0,0
2025-05-30 22:41:46,4056416256,1505406976,2632945664,2243948544,2243948544,32898647,4785,0,70.7,0.90966796875,0.54248046875,0.27587890625,1747293,1453942784,5953328128,0,0
2025-05-30 22:41:52,4056416256,2408022016,2542022656,2243948544,2243948544,32900231,4827,0,14.0,0.83642578125,0.533203125,0.27392578125,1752252,1457715200,5953651712,0,0
2025-05-30 22:41:58,4056416256,2458411008,2595278848,2243948544,2243948544,32900354,4835,0,1.0,0.76904296875,0.52392578125,0.27197265625,1754412,1460430848,5953881088,140,154
2025-05-30 22:42:04,4056416256,2479783936,2617085952,2243948544,2243948544,32900357,4835,0,0.0,0.70703125,0.51513671875,0.2705078125,1755049,1460852736,5953905664,9,107
2025-05-30 22:42:10,4056416256,2479783936,2617085952,2243948544,2243948544,32900357,4835,0,2.0,0.650390625,0.50634765625,0.26904296875,1755660,1460852736,5953922048,0,81
2025-05-30 22:42:16,4056416256,2479783936,2617085952,2243948544,2243948544,32900357,4835,0,1.0,0.6240234375,0.505859375,0.271484375,1756208,1460852736,5953938432,0,97
2025-05-30 22:42:22,4056416256,2479783936,2617094144,2243948544,2243948544,32900357,4835,0,0.0,0.57373046875,0.4970703125,0.27001953125,1756796,1460852736,5953967104,0,97
2025-05-30 22:42:28,4056416256,2479783936,2617102336,2243948544,2243948544,32900357,4835,0,0.0,0.52734375,0.48876953125,0.2685546875,1757357,1460852736,5953983488,0,81
2025-05-30 22:42:34,4056416256,2479783936,2617110528,2243948544,2243948544,32900357,4835,0,1.0,0.48486328125,0.48046875,0.26708984375,1757989,1460852736,5953999872,72,16
2025-05-30 22:42:40,4056416256,2479783936,2617118720,2243948544,2243948544,32900359,4835,0,0.0,0.44580078125,0.47216796875,0.265625,1758585,1460852736,5954016256,9,9
2025-05-30 22:42:46,4056416256,2479783936,2617118720,2243948544,2243948544,32900451,4837,0,54.0,0.37646484375,0.4560546875,0.2626953125,1759203,1460963328,5954040832,0,0
